prefecture_id,ordinance_designated_city_id,name,slug,jis_code,bounding_box
43,,玉名郡和水町,tamanagunnagomimachi,43369,"130.56103300,32.94131900 130.65876000,33.11593300"
43,,菊池郡大津町,kikuchigunoodumachi,43403,"130.83174800,32.83665900 130.98930600,32.95324800"
43,,菊池郡菊陽町,kikuchigunkikuyoumachi,43404,"130.74842800,32.82192200 130.87453000,32.89692800"
43,,阿蘇郡南小国町,asogumminamiogunimachi,43423,"130.99832500,33.01948500 131.19873200,33.11543100"
43,,阿蘇郡小国町,asogunogunimachi,43424,"130.97862400,33.09416100 131.17180000,33.19525600"
43,,阿蘇郡産山村,asogunubuyamamura,43425,"131.15092400,32.95966000 131.26500800,33.07076400"
43,,阿蘇郡高森町,asoguntakamorimachi,43428,"131.09451800,32.75336000 131.32871700,32.90926600"
43,,阿蘇郡西原村,asogunnishiharamura,43432,"130.87063900,32.77959300 130.99692300,32.86780200"
43,,阿蘇郡南阿蘇村,asogumminamiasomura,43433,"130.94851300,32.78360600 131.11593900,32.90999000"
43,,上益城郡御船町,kamimashikigummifunemachi,43441,"130.75712000,32.66155500 130.96010000,32.79079700"
43,,上益城郡嘉島町,kamimashikigunkashimamachi,43442,"130.69507000,32.72840800 130.79734300,32.76455900"
43,,上益城郡益城町,kamimashikigummashikimachi,43443,"130.77780100,32.73132600 130.88897300,32.84015800"
43,,上益城郡甲佐町,kamimashikigunkousamachi,43444,"130.75263000,32.62626400 130.87622300,32.71991000"
43,,上益城郡山都町,kamimashikigunyamatochou,43447,"130.88685200,32.54856200 131.23574300,32.82088300"
43,,八代郡氷川町,yatsushirogunhikawachou,43468,"130.61718000,32.52770400 130.72272000,32.62262200"
43,,葦北郡芦北町,ashikitagunashikitamachi,43482,"130.46361900,32.18264500 130.64213500,32.41048000"
43,,葦北郡津奈木町,ashikitaguntsunagimachi,43484,"130.42390900,32.20870400 130.49542700,32.29065300"
43,,球磨郡錦町,kumagunnishikimachi,43501,"130.78091500,32.12068000 130.91347000,32.25169200"
43,,球磨郡多良木町,kumaguntaragimachi,43505,"130.88527600,32.15193100 131.10903900,32.35868500"
43,,球磨郡湯前町,kumagunyunomaemachi,43506,"130.96360300,32.22910700 131.05466700,32.32027300"
43,,球磨郡水上村,kumagummizukamimura,43507,"130.93865800,32.28030600 131.11214200,32.46208400"
43,,球磨郡相良村,kumagunsagaramura,43510,"130.77776200,32.20432100 130.89920600,32.37756400"
43,,球磨郡五木村,kumagunitsukimura,43511,"130.72046400,32.34122000 130.96095000,32.49938400"
43,,球磨郡山江村,kumagunyamaemura,43512,"130.69399100,32.22919800 130.81544300,32.39295600"
43,,球磨郡球磨村,kumagunkumamura,43513,"130.57937800,32.15112100 130.73403100,32.37869100"
43,,球磨郡あさぎり町,kumagunasagirichou,43514,"130.84700600,32.11526300 130.99593600,32.32638400"
43,,天草郡苓北町,amakusagunreihokumachi,43531,"130.01187300,32.42887200 130.12698300,32.54335800"
44,,大分市,ooitashi,44201,"131.41864900,33.06975900 131.95682600,33.29027100"
44,,別府市,beppushi,44202,"131.37800400,33.22379300 131.52031600,33.35463200"
44,,中津市,nakatsushi,44203,"130.92607400,33.34831300 131.27900300,33.62006900"
44,,日田市,hitashi,44204,"130.82445500,33.02307600 131.09079000,33.45775500"
44,,佐伯市,saiki-shi,44205,"131.47551900,32.71443800 132.08540600,33.06899000"
44,,臼杵市,usukishi,44206,"131.62846300,32.95053200 131.91175000,33.20753800"
44,,津久見市,tsukumishi,44207,"131.78238000,33.02901500 132.01638100,33.17128900"
44,,竹田市,taketashi,44208,"131.19434800,32.82859500 131.45791400,33.15418100"
44,,豊後高田市,bungotakadashi,44209,"131.41245100,33.47527800 131.59663400,33.68429300"
44,,杵築市,kitsu-kishi,44210,"131.40553600,33.35504700 131.71839800,33.55948300"
44,,宇佐市,usashi,44211,"131.21583100,33.30937100 131.44850600,33.58311400"
44,,豊後大野市,bungooonoshi,44212,"131.34685700,32.80285900 131.67903400,33.12092300"
44,,由布市,yufushi,44213,"131.25651400,33.10493300 131.54377500,33.32718300"
44,,国東市,kunisakishi,44214,"131.54443800,33.43463400 131.74508900,33.69254400"
44,,東国東郡姫島村,higashikunisakigunhimeshimamura,44322,"131.63097400,33.71611700 131.70156300,33.74033100"
44,,速見郡日出町,hayamigunhijimachi,44341,"131.41622900,33.34292600 131.61702300,33.42760500"
44,,玖珠郡九重町,kusugunkokonoemachi,44461,"131.11140500,33.07359600 131.32452200,33.30474300"
44,,玖珠郡玖珠町,kusugunkusumachi,44462,"131.03344400,33.18318500 131.33382100,33.38875300"
45,,宮崎市,miyazakishi,45201,"131.18897000,31.72102400 131.50576800,32.06593100"
45,,都城市,miyakonojoushi,45202,"130.87423200,31.61974300 131.25444600,31.94501100"
45,,延岡市,nobeokashi,45203,"131.42885600,32.48980500 131.88565000,32.83895900"
